Grade,Topic,Subtopic,Activity Type,Activity Name,Location
Class 1,Writing,Creative Writing,Practice,Write About a Pet,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/WritersPad/x_a599.swf
Class 1,Writing,Creative Writing,Interactive Exercise,Make a Grocery List,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/GL/x_a216.swf
Class 1,Vocabulary,Compound Words,Practice,Framing Compound Words,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/Conveyor/r172/x_a172.swf
Class 1,Vocabulary,Compound Words,Practice,Compound Words: Break-a-Word ,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/BustaWord/r176/x_a176.swf
Class 1,Vocabulary,Compound Words,Interactive Exercise,Write Your Own Compound Words,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/WritersPad/x_a379.swf
Class 1,Vocabulary,Antonyms,Instruction ,Bollywood Pairs 1: Antonyms,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r557/x_a557.swf
Class 1,Vocabulary,Antonyms,Instruction ,Bollywood Pairs 2: Antonyms     ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r624/x_a624.swf
Class 1,Grammar,Adjectives,Instruction,More about Describing Words,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a321.swf
Class 2,Phonics,Identify Sounds,Practice,Find Words with the Letter Sounds,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/WordPuzzles/r157/x_a157.swf
Class 2,Phonics,Identify Sounds,Practice,Find Words with Diagraph Sounds,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/Hangman/x_a365.swf
Class 2,Reading,Story Time I,Practice,Tall Tale Song,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/Song/x_a824.swf
Class 2,Reading,Story Time I,Practice,Big Bhim Singh-Tall Tale Story,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a175.swf
Class 2,Reading,Story Time I,Practice,Big Bhim Singh: Read on Your Own,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a823.swf
Class 2,Reading,Story Time I,Practice,Sort Exaggerated and Plain Sentences,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/SortingTables/x_a815.swf
Class 2,Reading,Story Time II,Practice,Puffins and Penguins: Factual Text,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/NonFiction/x_a177.swf
Class 2,Reading,Story Time II,Practice,Puffins and Penguins: Read on Your Own,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/NonFiction/x_a825.swf
Class 2,Reading,Story Time II,Practice,Venn Diagram: Puffins and Penguins,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/Venn/x_a382.swf
Class 2,Reading,Story Time II,Practice,Write about Puffins and Penguins,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/WritersPad/x_a383.swf
Class 2,Reading,Story Time III,Practice,The Beast: Poem,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Poems/x_a180.swf
Class 2,Reading,Story Time III,Practice,The Beast: Read on Your Own,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Poems/x_a826.swf
Class 2,Reading,Story Time III,Practice,December: Poem,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Poems/x_a384.swf
Class 2,Reading,Story Time IV,Practice,The King's New Clothes,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a051.swf
Class 2,Reading,Story Time IV,Practice,Sort Characteristics of the King and the Weavers,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/SortingTables/x_a360.swf
Class 2,Reading,Story Time IV,Practice,The Two Mice: Read on Your Own,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a820.swf
Class 2,Reading,Story Time IV,Practice,The Two Mice: Story,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a192.swf
Class 2,Reading,Story Time IV,Practice,Maria's Mail,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a372.swf
Class 2,Reading,Story Time IV,Practice,Emma Wants to Read: Read on Your Own,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/Stories/x_a822.swf
Class 2,Reading,Activity,Practice,Sort Setting Words for the Stories,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/SortingTables/x_a373.swf
Class 2,Reading,Activity,Practice,Picture Postcard 1,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/Postcard/x_a362.swf
Class 2,Reading,Activity,Practice,Visualisation: Picture Postcard 2,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/Postcard/x_a095.swf
Class 2,Reading,Activity,Practice,Write What You Want to Learn about Triceratops,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/WritersPad/x_a368.swf
Class 2,Reading,Activity,Practice,Meet the Triceratops,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/NonFiction/x_a055.swf
Class 2,Reading,Activity,Practice,Write What You Learned about Triceratops,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/WritersPad/x_a369.swf
Class 2,Reading,Activity,Practice,Poster: How Fossils Are Formed,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../RT/NonFiction/x_a367.swf
Class 2,Writing,Activity,Practice,Write Your Own Adventure,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../TextEntry/WritersPad/x_a371.swf
Class 2,Vocabulary,Sight Words,Practice,"Sight Words I (There, Use, Which, She, Do, Their, Other)",english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/SW/x_a361.swf
Class 2,Vocabulary,Sight Words,Practice,"Sight Words II (About, Many, Black, Please, Some, Pretty)",english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/SW/x_a747.swf
