Grade,Topic,Subtopic,Activity Type,Activity Name,Description,Location
Class 4,Reading,Reading for Fun,Practice,Arion's Music,A Greek myth about a musician in ancient Greece.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a242.swf
Class 4,Reading,Reading for Fun,Practice,Randy Wells: A Life with Dolphins,A magazine article about a marine biologist who studies dolphins.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a781.swf
Class 4,Reading,Reading for Fun,Practice,Geeta's Journey,A story set in the past? about a girl and her family moving to a new place.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a244.swf
Class 4,Reading,Reading for Fun,Practice,Mari's Treasure Hunt,An adventure fiction story about a treasure hunt.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a247.swf
Class 4,Reading,Reading for Fun,Practice,The Very Tall Tale of Chandu Swami,A tall tale about a sailor called Chandu Swami.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a268.swf
Class 4,Reading,Reading for Fun,Practice,The Mystery of the Purple Footprints: Chapter 1,The first chapter of a mystery story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a251.swf
Class 4,Reading,Reading for Fun,Practice,The Mystery of the Purple Footprints: Chapter 2,The second chapter of a mystery story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a484.swf
Class 4,Reading,Reading for Fun,Practice,Super-Duper Biggies,A science fiction story about a boy and some giant tomatoes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a274.swf
Class 4,Reading,Reading for Fun,Practice,Race Across Alaska,An adventure fiction story about a sled race in Alaska.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a264.swf
Class 4,Reading,Reading for Fun,Practice,Why Clouds Bring Storms,A tale about a trickster fox who is outwitted by a cloud.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a803.swf
Class 4,Reading,Reading for Fun,Practice,Firefly,A poem about a firefly.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Poems/x_a237.swf
Class 4,Reading,Analytical Reading,Practice,Sort Information about Volcanoes,Students sort information into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a307.swf
Class 4,Reading,Analytical Reading,Practice,Sequence Events from a Folk Tale,Students sequence events from a folk tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a314.swf
Class 4,Reading,Analytical Reading,Practice,Sequence Events from Historical Fiction,Students sequence events from a historical fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a305.swf
Class 4,Reading,Analytical Reading,Practice,Match Words with the Definitions,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a569.swf
Class 4,Reading,Analytical Reading,Practice,Draw Conclusions from the Adventure Fiction,Students draw conclusions from an adventure fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r326/x_a326.swf
Class 4,Reading,Analytical Reading,Practice,Match: Cause and Effect ,Students match causes with effects.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a636.swf
Class 4,Reading,Analytical Reading,Practice,Sequence Steps in a Procedure ,Students place a set of instructions in the correct order.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a313.swf
Class 4,Reading,Analytical Reading,Practice,Match the Words with the Definitions,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a556.swf
Class 4,Reading,Analytical Reading,Practice,Sort Information about Aardvarks,Students sort information about aardvarks into different categories.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a352.swf
Class 4,Reading,Analytical Reading,Practice,Sequence Events from an Adventure,Students place events from an adventure story in the correct order.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a795.swf
Class 4,Reading,Analytical Reading,Practice,Reading Text for Information,Students find information in a piece of text.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a479.swf
Class 4,Reading,Analytical Reading,Practice,Match: Problems and Solutions 1,Students match problems with their solutions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a340.swf
Class 4,Reading,Analytical Reading,Practice,Match: Problems and Solutions 2,Students match problems with their solutions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a585.swf
Class 4,Reading,Analytical Reading,Practice,Sequence Events from a Legend,Students place events from a story in the correct order.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a446.swf
Class 4,Reading,Analytical Reading,Instruction,Features of a Procedure,An informational graphic explaining the features of recipes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r517/x_a517.swf
Class 4,Reading,Inferential Comprehension,Practice,Find the Right Answer: Map Legends/ Key,A game in which students answer questions based on a map.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r772/x_a772.swf
Class 4,Reading,Inferential Comprehension,Practice,Cause and Effect in a Story - Randy Wells: A Life with Dolphins ,Students match causes with their effects.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a344.swf
Class 4,Reading,Inferential Comprehension,Instruction,Context Clues in the Passage,An introduction to finding the meaning of a word in a sentence by looking at the meaning of other words in the sentence.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a621.swf
Class 4,Reading,Inferential Comprehension,Practice,Choose the Best Summary,Students choose the best summaries of parts of a folk tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r450/x_a450.swf
Class 4,Reading,Inferential Comprehension,Practice,Venn Diagram: Sort Character? Plot and Setting,Students organise information from two folk tales into a Venn diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/Venn/x_a637.swf
Class 4,Reading,Inferential Comprehension,Instruction,Features of Student's Reports,An informational graphic about student reports.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r519/x_a519.swf
Class 4,Reading,Inferential Comprehension,Practice,Aardvarks: A Student Report,A student's report on aardvarks.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a241.swf
Class 4,Reading,Inferential Comprehension,Practice,Venn Diagram: Life Then and Now ,Students organise features of life in the past and life now into a Venn diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/Venn/x_a319.swf
Class 4,Reading,Reading for Comprehension,Practice,Find the Right Answers,Students answer questions based on a mystery story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r332/x_a332.swf
Class 4,Reading,Reading for Comprehension,Practice,Identify the Main Idea: A Volcano Is Born,Students identify the main idea or topic of informational text.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a762.swf
Class 4,Reading,Reading for Comprehension,Practice,Find the Words: Character and Setting,Students identify words signifying character and setting in a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a586.swf
Class 4,Reading,Reading for Comprehension,Practice,Sort Character? Plot and Setting ,Students sort information about character? plot and setting into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a473.swf
Class 4,Reading,Reading for Comprehension,Instruction,What Makes a Tall Tale Fun,A song about tall tales.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a516.swf
Class 4,Reading,Reading for Comprehension,Practice,Match Words with the Definitions,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a575.swf
Class 4,Reading,Reading for Comprehension,Practice,Match: Cause and Effect ,Students match causes with their effects.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a461.swf
Class 4,Writing,Organized Writing,Practice,Letter: Write from a Character's Point of View ,Students write a letter from the point of view of the spider in the story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a463.swf
Class 4,Writing,Organized Writing,Practice,Write a Procedure ,Students choose a topic and write a step-by-step procedure for it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a482.swf
Class 4,Writing,Organized Writing,Instruction,Focus on a Report,An informational graphic about student reports.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r519/x_a519.swf
Class 4,Writing,Organized Writing,Practice,Write a Personal Diary Entry,Students write a diary entry for one day. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a401.swf
Class 4,Writing,Organized Writing,Instruction,Focus on a Diary,An informational graphic about diaries.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r506/x_a506.swf
Class 4,Writing,Creative Writing,Practice,Write a Prediction,Students write what they could make from a list of ingredients.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a309.swf
Class 4,Writing,Creative Writing,Practice,Write a Dialogue,Students practice Writing dialogue.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a612.swf
Class 4,Writing,Creative Writing,Practice,Picture Postcard 1,"Students create a postcard based on the poem ""Firefly"".",english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/Postcard/x_a320.swf
Class 4,Writing,Creative Writing,Practice,Picture Postcard 2,Students create a postcard based on a tall tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/Postcard/x_a459.swf
Class 4,Writing,Creative Writing,Practice,Picture Postcard 3,Students create a postcard based on a trickster tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/Postcard/x_a589.swf
Class 4,Writing,Creative Writing,Practice,Write Questions for a Report,Students write questions to help them research a report about their chosen animal.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a389.swf
Class 4,Writing,Creative Writing,Instruction,Focus on Historical Fiction,An informational graphic about historical fiction.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r521/x_a521.swf
Class 4,Writing,Creative Writing,Practice,Write Questions about Another Time Period,Students write questions to help them find out about life in the past.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a333.swf
Class 4,Writing,Creative Writing,Practice,Write a List for a New Setting,Students write a list based on different settings in a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a566.swf
Class 4,Writing,Creative Writing,Instruction,Focus on Adventure Fiction 1,An informational graphic about adventure fiction.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r523/x_a523.swf
Class 4,Writing,Creative Writing,Practice,Write a New Ending to an Adventure,Students practice Writing different endings to a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a393.swf
Class 4,Writing,Creative Writing,Instruction,Focus on a Mystery,An informational graphic about mystery stories.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r504/x_a504.swf
Class 4,Writing,Creative Writing,Practice,Write a New Ending to a Mystery,Students write a new ending for a mystery story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a395.swf
Class 4,Writing,Creative Writing,Practice,Write the Ending to a Legend,Students write a sentence describing the ending of a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a634.swf
Class 4,Writing,Creative Writing,Practice,Write Your Own Folk Tale,Students write their own folk tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a488.swf
Class 4,Writing,Creative Writing,Practice,Write Your Own Science Fiction Story,Students write their own science fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a406.swf
Class 4,Writing,Creative Writing,Practice,Write Questions to Ask a Character,Students write questions they would ask to solve the mystery in the story. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a485.swf
Class 4,Vocabulary,Forming words,Practice,Create New Words: Prefixes (un? dis? re)? Suffixes (ly? ful? en) and Compound Words,Students practice creating new words by adding prefixes and suffixes and by joining words together.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r571/x_a571.swf
Class 4,Vocabulary,Forming words,Practice,Break-a-Word: Prefixes (un? dis? re)? Suffixes (ly? ful? en) and Compound Words,Students practice separating prefixes and suffixes from root words? and compound words into separate words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r573/x_a573.swf
Class 4,Vocabulary,Forming words,Practice,Vocabulary Strategies,Students practice recognising new words by finding shorter words in them.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a574.swf
Class 4,Vocabulary,Homophones,Practice,Homophones in Sentences 1,Students explore how homophones can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a558.swf
Class 4,Vocabulary,Homophones,Practice,Homophones in Sentences 2,Students explore how homophones can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a619.swf
Class 4,Vocabulary,Antonyms,Practice,Antonyms Match,A game in which students match pairs of antonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r583/x_a583.swf
Class 4,Grammar,Nouns,Instruction,Possessive Nouns: Introduction,An introduction to possessive nouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a281.swf
Class 4,Grammar,Nouns,Practice,Identify Possessive Nouns 1,Students identify possessive nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a293.swf
Class 4,Grammar,Nouns,Practice,Possessive Nouns: Complete the Sentences,Students use possessive nouns? adjectives and adverbs to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a435.swf
Class 4,Grammar,Nouns,Instruction,Words Beginning with Capital Letters,An introduction to why some words begin with capital letters.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a425.swf
Class 4,Grammar,Nouns,Practice,Identify Proper Nouns,Students identify proper nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a796.swf
Class 4,Grammar,Nouns,Practice,Singular Plural Match 1,Students match singular nouns with their plurals.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r572/x_a572.swf
Class 4,Grammar,Nouns,Practice,Singular Plural Match 2,A game in which students match words with their plurals.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r620/x_a620.swf
Class 4,Grammar,Pronouns,Interactive Exercise,Pronouns: Guided Practice,Students use pronouns to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a286.swf
Class 4,Grammar,Verbs,Interactive Exercise,Simple Present and Past Tense 1,Students use past and present tenses of verbs to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a287.swf
Class 4,Grammar,Verbs,Interactive Exercise,Simple Present and Past Tense 2,Students choose the correct verbs to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a285.swf
Class 4,Grammar,Sentences,Instruction,Combining Subjects in a Compound Sentence,Students practice combining subjects in a compound sentence.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a805.swf
Class 4,Grammar,Sentences,Instruction,Compound Verb Predicates,Students practice combining verbs in a compound sentence.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a283.swf
Class 4,Grammar,Sentences,Practice,Identify Sentences with Compound Predicates,Students identify sentences that combine two ideas.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a295.swf
Class 4,Grammar,Sentences,Practice,Use Verbs and Pronouns to Complete Sentences,Students use verbs and pronouns to complete sentences.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../PC/ChoiceIsRight/r629/x_a629.swf
Class 4,Grammar,Sentences,Practice,Compound Words in a Sentence,Students explore how different compound words can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a799.swf
Class 4,Grammar,Subject-Verb Agreement,Practice,Choose the Right Sentence: Subject-Verb Agreement,Students choose sentences in which subject and verb agree.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r570/x_a570.swf
Class 4,Grammar,Punctuations,Instruction,Commas in a Series,An introduction to commas in a series.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../PC/OnStage/x_a424.swf
Class 4,Grammar,Punctuations,Practice,Contractions Match,A game in which students match words with their contractions.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../PC/HollyWPairs/r792/x_a792.swf
Class 5,Phonics,Reviewing Sounds,Practice,Identify Words with Silent k? w? b,Students identify words with silent k? w and b.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/WordPuzzles/r627/x_a627.swf
Class 5,Phonics,Reviewing Sounds,Practice,"Identify Words with ""-dge""? ""-ge""? ""-ph"" Sounds",Students identify words with -dge? -ge and -ph sounds.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/WordPuzzles/r580/x_a580.swf
Class 5,Phonics,Reviewing Sounds,Practice,Word Family: -ain? -ief? -ait? -aid? -ail? and -ay ,Students identify words that end with -ain? -ief? -ait? -aid? -ail and -ay.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../WF/x_a786.swf
Class 5,Phonics,Reviewing Sounds,Practice,Write Sentences: -wa sound,"Students write sentences using words with the ""wa"" sound.",english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a561.swf
Class 5,Phonics,Reviewing Sounds,Practice,Write Sentences: ou and ew? ue sounds,Students write sentences using words with ou? ew and ue sounds.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a567.swf
Class 5,Phonics,Reviewing Sounds,Practice,Write Sentences: -le sound,Students write sentences using words that end with the -le sound.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a576.swf
Class 5,Phonics,Reviewing Sounds,Practice,"Identify Words that Start with ""spl"" and ""thr"" Blends",Students identify words that start with spl- and thr-.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a791.swf
Class 5,Phonics,Reviewing Sounds,Practice,"Identify Words that End with ""-ove""",Students identify words that end with -ove.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../WF/x_a560.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Biography 1,An informational graphic about biographies.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r522/x_a522.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Biography 2,An informational graphic about biographies.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r536/x_a536.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Timeline 1,An informational graphic about timelines.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r834/x_a834.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Timeline 2,An informational graphic about timelines.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r839/x_a839.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a News Article,An informational graphic about news articles.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r513/x_a513.swf
Class 5,Reading,Advanced Reading,Instruction,Features of Informational Books,An informational graphic about the features of informational books.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r478/x_a478.swf
Class 5,Reading,Advanced Reading,Practice,Choice Is Right: Informational Text,Students answer questions based on an informational book.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r416/x_a416.swf
Class 5,Reading,Advanced Reading,Instruction,Focus on a Diary,An informational graphic about diaries.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r506/x_a506.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Schedule,An informational graphic about schedules.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r837/x_a837.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Bar Graph,An informational graphic about bar graphs.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r840/x_a840.swf
Class 5,Reading,Advanced Reading,Practice,Diagram and Bar Graph: Find the Right Answers,Students answer questions based on a diagram and bar graph.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r438/x_a438.swf
Class 5,Reading,Advanced Reading,Instruction,Focus on Historical Fiction,An informational graphic about historical fiction.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r521/x_a521.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Map,An informational graphic about maps.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r836/x_a836.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Cutaway Diagram,An informational graphic about cutaway diagrams.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r835/x_a835.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Technical Text,An informational graphic about technical texts.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r497/x_a497.swf
Class 5,Reading,Advanced Reading,Instruction,Features of a Procedure,An informational graphic about procedures.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r507/x_a507.swf
Class 5,Reading,Advanced Reading,Practice,Features of a Procedure ,An informational graphic explaining the features of recipes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r517/x_a517.swf
Class 5,Reading,Reading for Comprehension,Practice,Find Words Using a Glossary,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a480.swf
Class 5,Reading,Reading for Comprehension,Practice,Comprehension: Find the Right Answers,Students answer questions based on a biographical text.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r469/x_a469.swf
Class 5,Reading,Reading for Comprehension,Practice,Summaries: Find the Right Answer,A game in which students answer questions based on a biography.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r327/x_a327.swf
Class 5,Reading,Reading for Comprehension,Practice,Summaries and Details: Find the Right Answer 1,Students choose the best summaries of parts of a folk tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r450/x_a450.swf
Class 5,Reading,Reading for Comprehension,Practice,Summaries and Details: Find the Right Answer 2,Students choose the best summaries of extracts from a newspaper article.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r448/x_a448.swf
Class 5,Reading,Reading for Comprehension,Practice,Match: Vocabulary ,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a613.swf
Class 5,Reading,Reading for Comprehension,Practice,Comprehension: Find the Right Answers,Students answer questions based on a newspaper article.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r300/x_a300.swf
Class 5,Reading,Reading for Comprehension,Practice,Sort? Character? Plot and Setting ,Students sort information about character? plot and setting into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a471.swf
Class 5,Reading,Reading for Comprehension,Practice,Match: Vocabulary ,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a575.swf
Class 5,Reading,Reading for Comprehension,Practice,Match: Cause and Effect ,Students match causes with their effects.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a466.swf
Class 5,Reading,Reading for Comprehension,Practice,Sort Phrases: Persuasive or Informational,Students sort phrases according to whether they are persuasive or informational.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SortingTables/x_a511.swf
Class 5,Reading,Reading for Comprehension,Practice,Sort Information from Aquarium Exhibit Plaques,Students sort information into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a472.swf
Class 5,Reading,Reading for Comprehension,Practice,Map: Find the Right Answers,Students answer questions based on a map.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r439/x_a439.swf
Class 5,Reading,Reading for Comprehension,Practice,Cutaway Diagram: Find the Right Answers,Students answer questions about a cutaway diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r440/x_a440.swf
Class 5,Reading,Reading for Comprehension,Practice,Match: Vocabulary ,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a579.swf
Class 5,Reading,Reading for Comprehension,Practice,Find Words: Character and Setting,Students identify words signifying character and setting in a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a586.swf
Class 5,Reading,Reading for Comprehension,Practice,Find the Rhyming Words: Fog,Students identify rhyming words in a poem.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a615.swf
Class 5,Reading,Inferential Comprehension,Instruction,Context Clues in a Sentence: Find a Word Meaning by Looking at other Word Meanings,An introduction to finding the meaning of a word in a sentence by looking at the meaning of other words in the sentence.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a621.swf
Class 5,Reading,Inferential Comprehension,Practice,Sort Information about Cricket,Students sort information about cricket into categories.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a475.swf
Class 5,Reading,Inferential Comprehension,Practice,Match: Problems and Solutions ,Students match problems with their solutions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a585.swf
